Águeda ,Manuel Castro Azevedo ,PPD / PSD 
Albergaria-a-Velha ,João Agostinho Pinto Pereira ,PPD / PSD 
Anadia ,Litério Augusto Marques ,PPD / PSD 
Arouca ,José Armando de Pinho Oliveira ,PS 
Aveiro ,Alberto Afonso Souto de Miranda ,PS 
Castelo de Paiva ,Paulo Ramalheira Teixeira ,PPD / PSD 
Espinho ,José Barbosa Mota ,PS 
Estarreja ,José Eduardo Alves Valente de Matos ,PPD/PSD.CDS-PP 
Feira ,Alfredo Oliveira Henriques ,PPD / PSD 
Ílhavo ,José Agostinho Ribau Esteves ,PPD / PSD 
Mealhada ,Carlos Alberto da Costa Cabral ,PS 
Murtosa ,António Maria dos Santos Sousa ,PPD / PSD 
Oliveira de Azemeis ,Ápio Cláudio do Carmo Assunção ,PPD / PSD 
Oliveira do Bairro ,Acílio Domingues Gala ,CDS - PP 
Ovar ,Armando França Rodrigues Alves ,PS 
S. João da Madeira ,Manuel Castro de Almeida ,PPD / PSD 
Sever do Vouga ,Manuel da Silva Soares ,PS 
Vagos ,Rui Miguel Rocha da Cruz ,PPD / PSD 
Vale de Cambra ,Eduardo Manuel Martins Coelho ,PPD / PSD 
Aljustrel ,António José Gonçalves Soares Godinho ,PCP / PEV 
Alvito ,PS ,António Eduardo Sousa Paiva 
Barrancos ,Nelson José Costa Berjano ,PS 
Beja ,PCP / PEV ,José Manuel da Costa Carreira Marques  
Castro Verde ,PCP / PEV ,Fernando Sousa Caeiros  
Cuba ,PS ,Francisco António Galinha Orelha 
Ferreira do Alentejo ,Luis António Pita Ameixa ,PS 
Mértola ,PS ,Jorge Pulido Valente 
Moura ,PCP / PEV ,José Maria Prazeres Pós-de-Mina 
Odemira ,António Manuel Camilo Coelho ,PS 
Ourique ,PPD / PSD ,José Raul Guerreiro Mendes dos Santos 
Serpa ,PCP / PEV ,João Manuel Rocha da Silva  
Vidigueira ,António Rodrigues Mendonça ,PS 
Amares ,José Lopes Gonçalves Barbosa ,PS 
Barcelos ,Fernando Ribeiro dos Reis ,PPD / PSD 
Braga  ,Francisco Soares Mesquita Machado  ,PS  
Cabeceiras de Basto ,Joaquim Barroso de Almeida Barreto ,PS 
Celorico de Basto  ,Albertino da Mota e Silva ,PPD / PSD 
Esposende  ,Fernando João Couto e Cepa ,PPD / PSD 
Fafe  ,José Manuel Martins Ribeiro ,PS  
Guimarães  ,António Magalhães da Silva ,PS 
Póvoa de Lanhoso ,João Manuel Holbeche Tinoco de Faria ,PS 
Terras de Bouro ,António José Ferreira Afonso ,PPD / PSD 
Vieira do Minho ,Manuel Travessa de Matos ,PS 
Vila Nova de Famalicão ,Armindo Borges Alves da Costa ,PPD/PSD.CDS-PP 
Vila Verde ,José Manuel Ferreira Fernandes ,PPD / PSD 
Vizela ,Francisco Ângelo da Silva Ferreira ,PS 
Alfândega da Fé ,João Carlos Pontes Figueiredo Sarmento ,PPD/PSD.CDS-PP 
Bragança  ,António Jorge Nunes ,PPD / PSD 
Carrazeda de Ansiães  ,Eugénio Rodrigo Cardoso de Castro ,PPD / PSD 
Freixo de Espada à Cinta ,Edgar Manuel da Conceição Gata ,PPD / PSD 
Macedo de Cavaleiros  ,Beraldino José Vilarinho Pinto ,PPD/PSD.CDS-PP 
Miranda do Douro  ,Manuel Rodrigo Martins ,PPD / PSD 
Mirandela  ,José Maria Lopes Silvano ,PPD / PSD 
Mogadouro   ,António Guilherme Sá de Morais Machado ,PPD / PSD 
Torre de Moncorvo  ,Fernando António Aires Ferreira ,PS 
Vila Flor  ,Artur Guilherme Gonçalves Vaz Pimentel ,PS  
Vimioso  ,José Batista Rodrigues ,PPD / PSD 
Vinhais  ,José Carlos Taveira ,PS 
Belmonte ,Amândio Manuel Ferreira Melo ,PS 
Castelo Branco  ,Joaquim Morão Lopes Dias ,PS 
Covilhã  ,Carlos Alberto Pinto ,PPD / PSD 
Fundão  ,Manuel Joaquim Barata Frexes ,PPD / PSD 
Idanha-a-Nova  ,Álvaro José Cachucho Rocha ,PS 
Oleiros  ,José Santos Marques ,PPD / PSD 
Penamacor  ,Domingos Manuel Bicho Torrão ,I * 
Proença-a-Nova  ,Diamantino Ribeiro André ,PPD / PSD 
Sertã  ,José Paulo Barata Farinha ,PS 
Vila de Rei  ,Maria Irene da Conceição Barata Joaquim ,PPD / PSD 
Vila Velha de Rodão  ,Maria do Carmo de Jesus Amaro Sequeira ,PS 
Arganil  ,Rui Miguel da Silva ,PS 
Cantanhede  ,Jorge Manuel Catarino dos Santos ,PPD / PSD 
Coimbra  ,Carlos Manuel de Sousa Encarnação ,PPD/PSD-CDS-PP-PPM 
Condeixa-a-Nova  ,Jorge Manuel da Conceição Teixeira Bento ,PS  
Figueira da Foz  ,António Baptista Duarte Silva (IND) ,PPD / PSD 
Góis  ,João Girão Vitorino ,PS 
Lousã   ,Fernando dos Santos Carvalho ,PS  
Mira  ,Mário Ribeiro Maduro ,PPD / PSD 
Miranda do Corvo  ,Maria de Fátima Simões R. do Vale Ferreira ,PPD / PSD 
Montemor-o-Velho  ,Luis Manuel Barbosa Marques Leal ,PPD/PSD.CDS-PP 
Oliveira do Hospital  ,Mário Américo Franco Alves ,PPD / PSD 
Pampilhosa da Serra ,Hermano Manuel G. Nunes de Almeida ,PPD / PSD 
Penacova ,Maurício Teixeira Marques ,PPD / PSD 
Penela ,Fernando dos Santos Antunes ,PPD / PSD 
Soure ,João Eduardo Dias Madeira Gouveia ,PPD / PSD 
Tábua ,Francisco Ivo de Lima Portela (IND) ,PS 
V. Nova de Poiares ,Jaime Carlos Marta Soares ,PPD / PSD 
Alandroal ,João José Martins Nabais ,PS 
Arraiolos  ,Jerónimo José Correia dos Loios ,PCP / PEV 
Borba  ,Ângelo João Guarda Verdades de Sá ,PS 
Estremoz  ,Luis Felipe Pereira Mourinha ,PCP / PEV 
Évora  ,José Ernesto Ildefonso Leão d’Oliveira ,PS 
Montemor-o-Novo ,Carlos Manuel Rodrigues Pinto de Sá ,PCP / PEV 
Mora  ,José Manuel Manaia Sinogas ,PCP / PEV 
Mourão  ,José Manuel Santinha Lopes ,PS 
Portel  ,Norberto António Lopes Patinho ,PS 
Redondo  ,Alfredo Falamino Barroso  ,PCP / PEV 
Reguengos de Monsaraz  ,Victor Manuel Barão Martelo  ,PS  
Vendas Novas ,João Teresa Ribeiro ,PCP / PEV 
Viana do Alentejo ,Estevão Manuel Machado Pereira ,PCP / PEV 
Vila Viçosa ,Manuel João Fontaínhas Condenado ,PCP / PEV 
Albufeira  ,Desidério Jorge da Silva ,PPD / PSD 
Alcoutim  ,Francisco Augusto Caimoto Amaral ,PPD / PSD 
Aljezur  ,Manuel José de Jesus Marreiros ,PS 
Castro Marim  ,José Fernandes Estevens ,PPD / PSD 
Faro  ,José Adriano Gago Vitorino ,PPD / PSD 
Lagoa  ,Joaquim Carlos Piscarreta Rego ,PPD / PSD 
Lagos  ,Júlio José Monteiro Barroso ,PS 
Loulé  ,Sebastião Francisco Seruca Emídio ,PPD / PSD 
Monchique  ,Carlos Alberto dos Santos Tuta ,PS  
Olhão  ,Francisco José Fernandes Leal ,PS  
Portimão  ,Manuel António da Luz ,PS  
S. Brás de Alportel  ,António Paulo Jacinto Eusébio ,PS  
Silves  ,Maria Isabel Fernandes da Silva Soares ,PPD / PSD 
Tavira  ,José Macário Custódio Correia ,PPD / PSD 
Vila do Bispo ,Gilberto Repolho Reis Viegas ,PPD / PSD 
Vila Real de Santo António ,António Maria Farinha Murta ,PS 
Aguiar da Beira ,Augusto Fernando Andrade ,PPD / PSD 
Almeida ,José da Costa Reis ,PPD / PSD 
Celorico da Beira ,Júlio Manuel dos Santos ,MPT 
Figueira de Castelo Rodrigo ,Armando Pinto Lopes ,PPD / PSD 
Fornos de Algodres ,José Severino Soares Miranda ,PPD / PSD 
Gouveia ,Álvaro dos Santos Amaro ,PPD / PSD 
Guarda ,Maria do Carmo Pires Almeida Borges ,PS 
Manteigas ,José Manuel Custódia Biscaia ,PPD / PSD 
Meda ,João Germano Mourato Leal Pinto ,PPD / PSD 
Pinhel ,António Luis Monteiro Ruas ,PPD / PSD 
Sabugal  ,António Esteves Morgado ,PPD/PSD.CDS-PP 
Seia ,Eduardo Mendes de Brito ,PS 
Trancoso ,Júlio José Saraiva Sarmento ,PPD / PSD 
Vila Nova de Foz Côa ,Soterto Francisco Mariano Ribeiro ,PPD / PSD 
Alcobaça ,José Gonçalves Sapinho ,PPD / PSD 
Alvaiázere ,Álvaro Clemente Pinto Simões ,PPD / PSD 
Ansião ,Fernando Ribeiro Marques ,PPD / PSD 
Batalha ,António José Martins de Sousa Lucas ,PPD / PSD 
Bombarral ,António Carlos Albuquerque Álvaro ,PPD / PSD 
Caldas da Rainha ,Fernando José da Costa ,PPD / PSD 
Castanheira de Pera ,Pedro Manuel Barjona de Tomaz Henriques ,PS 
Figueiró dos Vinhos ,Fernando Manuel da Conceição Manata ,PS 
Leiria ,Isabel Damasceno Vieira de Campos Costa ,PPD / PSD 
Marinha Grande ,Álvaro Neto Órfão ,PS 
Nazaré ,Jorge Codinha Antunes Barroso ,PPD / PSD 
Óbidos ,Telmo Henrique Correia Daniel Faria ,PPD / PSD 
Pedrógão Grande ,João Manuel Gomes Marques ,PPD / PSD 
Peniche ,Jorge Manuel Rosendo Gonçalves ,PS 
Pombal ,Narciso Ferreira Mota ,PPD / PSD 
Porto de Mós ,José Maria Oliveira Ferreira ,PPD / PSD 
Alenquer ,Álvaro Joaquim Gomes Pedro ,PS 
Arruda dos Vinhos ,Carlos Manuel da Cruz Lourenço ,PPD / PSD 
Azambuja ,Joaquim António Sousa Neves Ramos ,PS 
Cadaval ,Aristides Lourenço Sécio ,PPD / PSD 
Cascais ,António d’Orey Capucho ,PPD/PSD.CDS-PP 
Lisboa ,Pedro Miguel Santana Lopes ,PPD/PSD - PPM 
Loures ,Carlos Alberto Dias Teixeira ,PS 
Lourinhã ,José Manuel Dias Custódio ,PS 
Mafra ,José Maria Ministro dos Santos ,PPD / PSD 
Oeiras ,Isaltino Afonso Morais ,PPD / PSD 
Sintra ,Fernando Jorge Loureiro de R. Seara ,PPD/PSD.CDS-PP 
Sobral de Monte Agraço ,António Lopes Bogalho ,PCP / PEV 
Torres Vedras ,Jacinto António Franco Leandro ,PS 
Vila Franca de Xira ,Maria da Luz G. Beja Ferreira Rosinha ,PS 
Amadora ,Joaquim Moreira Raposo ,PS 
Odivelas ,Manuel Porfírio Varges ,PS 
Alter do Chão ,António Hemetério Airoso Cruz ,PPD / PSD 
Arronches ,Gil da Conceição Palmeiro Romão ,PS 
Avis ,Manuel Maria Libério Coelho ,PCP / PEV 
Campo Maior ,João Manuel Borrega Burrica ,PS 
Castelo de Vide ,António Manuel Grincho Ribeiro ,PPD / PSD 
Crato ,José Correia da Luz ,PS 
Elvas ,José António Rondão Almeida ,PS 
Fronteira ,Pedro Namorado Lancha ,PPD / PSD 
Gavião ,Jorge Manuel Martins de Jesus ,PS 
Marvão ,Manuel Carrilho Bugalho ,PS 
Monforte ,Rui Manuel Maia da Silva ,PCP / PEV 
Nisa ,Maria Gabriela Pereira Menino Tsukamoto ,PCP / PEV 
Ponte de Sor ,João José de Carvalho Taveira Pinto ,PS 
Portalegre ,José Fernando de Mata Cáceres ,PPD / PSD 
Sousel ,Jorge Manuel Bettencourt M. Carrilho ,PPD / PSD 
Amarante ,PS ,Armindo José da Cunha Abreu 
Baião ,Emília dos Anjos Pereira da Silva ,PPD / PSD 
Gondomar ,Valentim dos Santos de Loureiro ,PPD / PSD 
Lousada ,Jorge Manuel Fernandes M. de Magalhães ,PS 
Maia ,José Vieira de Carvalho ,PPD/PSD.CDS-PP 
Marco de Canavezes ,Avelino Ferreira Torres ,CDS – PP 
Matosinhos ,José Narciso Rodrigues de Miranda ,PS 
Paços de Ferreira ,Arménio da Assunção Pereira ,PPD / PSD 
Paredes ,José Augusto Granja Rodrigues da Fonseca ,PPD / PSD 
Penafiel ,Alberto Fernando da Silva Santos ,PPD/PSD.CDS-PP 
Porto ,Rui Fernando da Silva Rio ,PPD/PSD.CDS-PP 
Póvoa de Varzim ,José Macedo Vieira ,PPD / PSD 
Santo Tirso ,António Alberto Castro Fernandes ,PS 
Valongo ,Fernando Horácio Moreira Pereira de Melo ,PPD / PSD 
Vila do Conde ,Mário Hermenegildo Moreira de Almeida ,PS 
V. Nova Gaia ,Luis Filipe Menezes Lopes ,PPD/PSD.CDS-PP 
Trofa ,Bernardino Manuel de Vasconcelos ,PPD / PSD 
Barreiro ,Emídio Branco Xavier ,PS 
Grândola ,Carlos Vicente Morais Beato ,PS 
Moita ,João José de Almeida ,PCP / PEV 
Montijo ,Maria Amélia Macedo Antunes ,PS 
Palmela ,Ana Teresa Vicente Custódio de Sá ,PCP / PEV 
Santiago do Cacém ,Vitor Manuel Chaves de Caro Proença ,PCP / PEV 
Seixal ,Alfredo José Monteiro da Costa ,PCP / PEV 
Sesimbra ,Amadeu José Silva Penim ,PS 
Setúbal ,Carlos Manuel Barateiro Sousa ,PCP / PEV 
Sines ,Manuel Coelho Carvalho ,PCP / PEV 
Arcos de Valdevez ,Francisco Rodrigues de Araújo ,PPD / PSD 
Caminha ,Júlia Paula Pires Pereira Costa ,PPD / PSD 
Melgaço ,António Rui Esteves Solheiro ,PS 
Monção ,José Henrique Pedreira Moreira ,PS 
Paredes de Coura ,António Pereira Júnior ,PS 
Ponte da Barca ,António Cabral de Oliveira ,PPD / PSD 
Ponte de Lima ,José Daniel Rosas Campelo da Rocha ,I * 
Valença ,José Luis Serra Rodrigues ,PS 
Viana do Castelo ,Defensor Oliveira Moura ,PS 
Vila Nova de Cerveira ,José Manuel Vaz Carpinteira ,PS 
Alijó ,José Artur Fontes Carcarejo ,PS 
Boticas ,Fernando Pereira Campos ,PPD / PSD 
Chaves ,João Gonçalves Martins Batista ,PPD / PSD 
Mesão Frio ,Marco António Peres Teixeira da Silva ,PPD / PSD 
Mondim de Basto ,Fernando Carvalho Branco Pinto de Moura ,PPD / PSD 
Montalegre ,Fernando José Gomes Rodrigues ,PS 
Murça ,Joao Luís Teixeira Fernandes ,PS 
Peso da Régua ,Vitor Manuel Ribeiro F. F. de Almeida ,PS 
Ribeira de Pena ,Agostinho Alves Pinto ,PPD/PSD.CDS-PP 
Sabrosa ,Orlando Manuel Pereira Vaz ,PPD / PSD 
Santa Marta de Penaguião ,Francisco José Guedes Ribeiro ,PS 
Valpaços ,Francisco Baptista Tavares ,PPD / PSD 
Vila Pouca de Aguiar ,Domingos Manuel Pinto Dias ,PPD/PSD.CDS-PP 
Vila Real ,Manuel do Nascimento Martins ,PPD / PSD 
Armamar ,Hernâni Pinto da Fonseca Almeida ,PPD / PSD 
Carregal do Sal ,Atílio dos Santos Nunes ,PPD / PSD 
Castro Daire ,João Augusto Matias Pereira ,PPD / PSD 
Cinfães ,José Manuel Pereira Pinto ,PS 
Lamego ,José António de Almeida Santos ,PS 
Mangualde ,António Soares Marques ,PPD/PSD.CDS-PP 
Moimenta da Beira ,José Agostinho Gomes Correia ,PPD / PSD 
Mortágua ,Afonso Sequeira Abrantes ,PS 
Nelas ,José Lopes Correia ,PS 
Oliveira de Frades ,João Carlos Azevedo Maia ,PPD / PSD 
Penalva do castelo ,Leonídio de Figueiredo Gomes Monteiro ,PPD / PSD 
Penedono ,João Manuel Rodrigues de Carvalho ,PPD / PSD 
Resende ,António Manuel Leitão Borges ,PS 
Santa Comba Dão ,Orlando Fernandes de Carvalho Mendes ,PS 
São João da Pesqueira ,António José Lima Costa ,PPD / PSD 
São Pedro do Sul ,António Carlos Ferreira R. de Figueiredo ,PPD / PSD 
Sátão ,Luis Manuel de Magalhães Cabral ,PPD / PSD 
Sernancelhe ,José Mário Almeida Cardoso ,PPD / PSD 
Tabuaço ,José Carlos Pinto dos Santos ,PPD / PSD 
Tarouca ,Mário Caetano Teixeira Ferreira ,PS 
Tondela ,Carlos Manuel Marta Gonçalves ,PPD / PSD 
Vila Nova de Paiva ,Carlos Fernando Diogo Pires ,PS 
Viseu ,Fernando de Carvalho Ruas ,PPD / PSD 
Vouzela ,Armindo Telmo Antunes Ferreira ,PPD / PSD 
Angra do Heroísmo ,Sérgio Humberto Rocha de Ávila ,PS 
Calheta ,Duarte Manuel Bettencourt da Silveira ,PPD / PSD 
Santa Cruz da Graciosa  ,José Ramos de Aguiar ,PPD / PSD 
Velas  ,António José Bettencourt da Silveira ,PPD / PSD 
Vila Praia da Vitória  ,José Fernando Diniz Gomes ,PPD / PSD 
Corvo   ,João Maria Fraga Greves ,CDS - PP 
Horta  ,Rui de Jesus Goulart ,PS 
Lajes das Flores  ,João António Vieira Lourenço ,PPD / PSD 
Lajes do Pico  ,Cláudio José Gomes Lopes ,PPD / PSD 
Madalena  ,Jorge Manuel Pereira Rodrigues ,PPD / PSD 
Santa Cruz das Flores ,Manuel Alberto da Silva Pereira ,PS 
São Roque do Pico  ,Manuel Joaquim Neves da Costa ,PPD / PSD 
Lagoa ,Luis Alberto Meireles Martins Mota ,PS  
Nordeste  ,José Carlos Barbosa Carreiro ,PPD / PSD 
Ponta Delgada  ,Berta Maria Correia de A de Melo Cabral ,PPD / PSD 
Povoação  ,Francisco da Silva Álvares ,PPD /  PSD 
Ribeira Grande  ,António Pedro Rebelo Costa ,PPD / PSD 
Vila Franca do Campo  ,Rui António Dias da Câmara C. e Melo ,PPD / PSD 
Vila do Porto  ,Alberto da Silva Costa ,PS  
Calheta  ,Manuel Baeta de Castro ,PPD / PSD 
Câmara de Lobos  ,Arlindo Pinto Gomes ,PPD / PSD 
Funchal  ,Miguel Filipe Machado Albuquerque ,PPD / PSD 
Machico  ,Emanuel Sabino Vieira Gomes ,PPD / PSD 
Ponta do Sol  ,António do Vale da Silva Lobo ,PPD / PSD 
Porto Moniz ,Gabriel de Lima Farinha ,PPD / PSD 
Porto Santo  ,Roberto Paulo Cardoso da Silva ,PPD / PSD 
Ribeira Brava  ,José Ismael Fernandes ,PPD / PSD 
Santa Cruz  ,José Savino dos Santos Correia ,PPD / PSD 
Santana  ,Carlos de Sousa Pereira ,PPD / PSD 
São Vicente  ,João Duarte Mendes ,PPD / PSD 
